Country,Year,total_population,log_population,GDP,log_GDP,health_expense,HDI,HIV_death_rate,hep_B_immunity,polio_immunity,BCG_immunity,avg_immunity,adult_mortality_rate,new_mortality,life_expectancy,Homicide_Rate,Unemployment_Rate,Population_Density,Internet_Users,GNI_per_capita
Sri Lanka,2012,20425000,7.310162065,3332.964742,3.522830719,6.19,0.762,0.37128429,99,99,99,99,131.1,-131.1,74.97,6,17.1,21.3854,30.8703,2070
Sudan,2012,35990192,7.556184164,1720.924295,3.235761766,11.65,0.485,17.71248164,92,92,92,92,235.5,-235.5,63.96,1.1,6.7,24.1383,95.5101,43980
Sweden,2012,9519374,6.97860839,57732.14207,4.761417672,19.16,0.908,0.223863475,30,98,24,50.66666667,56.48,-56.48,81.84,2.6,8.4,93.0985,34.2534,5120
Tajikistan,2012,7995062,6.902821836,969.2947682,2.986455869,7.49,0.639,1.242780622,94,96,97,95.66666667,130,-130,70.14,2.1,11.3,63.4486,21.96,2180
Thailand,2012,67843979,7.831511311,5860.584595,3.767940939,13.67,0.733,19.58940313,98,99,99,98.66666667,155.4,-155.4,74.63,4.1,0.8,135.4691,52.8919,9280
Togo,2012,6859482,6.836291321,571.8392198,2.757273938,7.38,0.484,137.4492531,84,84,97,88.33333333,281.4,-281.4,59.2,4.7,4.6,83.6085,27.4927,6230
Tonga,2012,104951,5.020986581,4532.512354,3.656338997,14.13,0.7,1.146411632,77,79,84,80,139.4,-139.4,72.9,9.2,2.1,141.5421,12.3602,900
Tunisia,2012,10886668,7.036894979,4152.700743,3.618330636,14.16,0.721,1.300555087,97,97,99,97.66666667,96.45,-96.45,75.27,3.5,1.1,141.6639,41.2487,5020
Turkey,2012,74569867,7.872563369,11707.56187,4.068466462,10.77,0.765,0.189428899,97,97,96,96.66666667,112.2,-112.2,75.23,3.3,15.4,73.5932,64.1908,9210
Turkmenistan,2012,5267839,6.721632493,6675.198979,3.824464216,8.68,0.686,1.97496571,98,98,99,98.33333333,189.1,-189.1,67.24,5,10.8,105.3967,64.6846,18190
Uganda,2012,36306796,7.559987925,707.3673074,2.849644984,14.34,0.497,199.535655,83,79,95,85.66666667,335.4,-335.4,59.47,4.1,3.9,12.2522,21.251,9070
Ukraine,2012,45593300,7.658901027,3867.239056,3.587401019,11.77,0.742,15.67707338,46,72,95,71,210.8,-210.8,70.69,13.2,1.8,206.0287,23.7065,1120
United Arab Emirates,2012,8900453,6.949412111,40976.50538,4.612534917,8.7,0.832,2.545288846,96,96,94,95.33333333,79.04,-79.04,76.61,7.1,9.5,76.793,58.8895,7180
Uruguay,2012,3396777,6.531067036,15171.60581,4.18103155,21.33,0.788,5.253108321,95,95,99,96.33333333,118.1,-118.1,76.21,8.1,7.9,19.6357,68.2797,15310
Uzbekistan,2012,29774500,7.473844477,2173.330199,3.337125715,9.58,0.681,1.872573844,99,99,99,99,144.8,-144.8,71.17,1.7,5.8,75.1288,52.3051,3670
Vanuatu,2012,247485,5.393548882,3133.090209,3.495972899,13.55,0.584,5.381686221,79,77,92,82.66666667,139.3,-139.3,71.48,2.3,4.4,23.4217,25.7198,4300
Zambia,2012,14699937,7.167315473,1717.798091,3.234972116,11.35,0.552,284.9692697,78,70,92,80,325.4,-325.4,59.6,1.7,2.1,305.0945,58.14,3620
Zimbabwe,2012,14710826,7.167637059,1304.96791,3.115599832,9.69,0.516,360.1786143,97,95,98,96.66666667,406.7,-406.7,57.34,9.5,13.2,52.7205,26.7184,2310
,,,,,,,,,,,,,,,,6.3,11.6,22.6713,27.8526,1590
