Country,Year,Series,Value
Asia,2020,Population mid-year estimates for females (millions),2267.5928
Asia,2020,Sex ratio (males per 100 females),104.6688
Asia,2020,Population aged 0 to 14 years old (percentage),23.4781
Asia,2020,Population aged 60+ years old (percentage),13.0691
Asia,2020,Population density,149.5516
Central Asia,2005,Population mid-year estimates (millions),58.4499
Central Asia,2005,Population mid-year estimates for males (millions),28.8174
Central Asia,2005,Population mid-year estimates for females (millions),29.6325
Central Asia,2005,Sex ratio (males per 100 females),97.2493
Central Asia,2005,Population aged 0 to 14 years old (percentage),30.9488
Central Asia,2005,Population aged 60+ years old (percentage),7.3172
Central Asia,2005,Population density,14.8849
Central Asia,2010,Population mid-year estimates (millions),62.8051
Central Asia,2010,Population mid-year estimates for males (millions),31.0178
Central Asia,2010,Population mid-year estimates for females (millions),31.7873
Central Asia,2010,Sex ratio (males per 100 females),97.579
Central Asia,2010,Population aged 0 to 14 years old (percentage),28.7015
Central Asia,2010,Population aged 60+ years old (percentage),6.9787
Central Asia,2010,Population density,15.994
Central Asia,2017,Population mid-year estimates (millions),70.8675
Central Asia,2017,Population mid-year estimates for males (millions),35.0691
Central Asia,2017,Population mid-year estimates for females (millions),35.7983
Central Asia,2017,Sex ratio (males per 100 females),97.963
Central Asia,2017,Population aged 0 to 14 years old (percentage),29.8728
Central Asia,2017,Population aged 60+ years old (percentage),8.0962
Central Asia,2017,Population density,18.0472
Central Asia,2017,Surface area (thousand km2),4103
Central Asia,2020,Population mid-year estimates (millions),74.339
Central Asia,2020,Population mid-year estimates for males (millions),36.8122
Central Asia,2020,Population mid-year estimates for females (millions),37.5268
Central Asia,2020,Sex ratio (males per 100 females),98.0958
Central Asia,2020,Population aged 0 to 14 years old (percentage),30.473
Central Asia,2020,Population aged 60+ years old (percentage),8.9227
Central Asia,2020,Population density,18.9312
Eastern Asia,2005,Population mid-year estimates (millions),1564.1923
Eastern Asia,2005,Population mid-year estimates for males (millions),798.7053
Eastern Asia,2005,Population mid-year estimates for females (millions),765.487
Eastern Asia,2005,Sex ratio (males per 100 females),104.3395
Eastern Asia,2005,Population aged 0 to 14 years old (percentage),19.8047
Eastern Asia,2005,Population aged 60+ years old (percentage),12.1721
Eastern Asia,2005,Population density,135.3054
Eastern Asia,2010,Population mid-year estimates (millions),1604.8594
Eastern Asia,2010,Population mid-year estimates for males (millions),819.6458
Eastern Asia,2010,Population mid-year estimates for females (millions),785.2136
Eastern Asia,2010,Sex ratio (males per 100 females),104.3851
Eastern Asia,2010,Population aged 0 to 14 years old (percentage),18.1594
Eastern Asia,2010,Population aged 60+ years old (percentage),13.816
Eastern Asia,2010,Population density,138.8232
Eastern Asia,2017,Population mid-year estimates (millions),1659.768
Eastern Asia,2017,Population mid-year estimates for males (millions),846.7846
Eastern Asia,2017,Population mid-year estimates for females (millions),812.9834
Eastern Asia,2017,Sex ratio (males per 100 females),104.1577
Eastern Asia,2017,Population aged 0 to 14 years old (percentage),17.3619
Eastern Asia,2017,Population aged 60+ years old (percentage),17.4739
Eastern Asia,2017,Population density,143.5729
Eastern Asia,2017,Surface area (thousand km2),11799
Eastern Asia,2020,Population mid-year estimates (millions),1678.0896
Eastern Asia,2020,Population mid-year estimates for males (millions),855.4757
Eastern Asia,2020,Population mid-year estimates for females (millions),822.6139
Eastern Asia,2020,Sex ratio (males per 100 females),103.9948
Eastern Asia,2020,Population aged 0 to 14 years old (percentage),17.1214
Eastern Asia,2020,Population aged 60+ years old (percentage),18.8736
Eastern Asia,2020,Population density,145.1577
South-central Asia,2005,Population mid-year estimates (millions),1647.0738
South-central Asia,2005,Population mid-year estimates for males (millions),851.4303
South-central Asia,2005,Population mid-year estimates for females (millions),795.6435
South-central Asia,2005,Sex ratio (males per 100 females),107.0115
South-central Asia,2005,Population aged 0 to 14 years old (percentage),33.5227
South-central Asia,2005,Population aged 60+ years old (percentage),7.041
