Country,Year,Series,Value
Kenya,2017,Sex ratio (males per 100 females),98.7303
Kenya,2017,Population aged 0 to 14 years old (percentage),40.35
Kenya,2017,Population aged 60+ years old (percentage),3.8101
Kenya,2017,Population density,88.2404
Kenya,2017,Surface area (thousand km2),591.958
Kenya,2020,Population mid-year estimates (millions),53.7713
Kenya,2020,Population mid-year estimates for males (millions),26.7185
Kenya,2020,Population mid-year estimates for females (millions),27.0528
Kenya,2020,Sex ratio (males per 100 females),98.7645
Kenya,2020,Population aged 0 to 14 years old (percentage),38.5896
Kenya,2020,Population aged 60+ years old (percentage),4.161
Kenya,2020,Population density,94.4782
Kiribati,2005,Population mid-year estimates (millions),0.0923
Kiribati,2005,Population mid-year estimates for males (millions),0.0455
Kiribati,2005,Population mid-year estimates for females (millions),0.0468
Kiribati,2005,Sex ratio (males per 100 females),97.1112
Kiribati,2005,Population aged 0 to 14 years old (percentage),36.9207
Kiribati,2005,Population aged 60+ years old (percentage),5.4037
Kiribati,2005,Population density,113.9815
Kiribati,2010,Population mid-year estimates (millions),0.1029
Kiribati,2010,Population mid-year estimates for males (millions),0.0507
Kiribati,2010,Population mid-year estimates for females (millions),0.0523
Kiribati,2010,Sex ratio (males per 100 females),96.8822
Kiribati,2010,Population aged 0 to 14 years old (percentage),36.1013
Kiribati,2010,Population aged 60+ years old (percentage),5.4903
Kiribati,2010,Population density,127.0704
Kiribati,2017,Population mid-year estimates (millions),0.1142
Kiribati,2017,Population mid-year estimates for males (millions),0.0561
Kiribati,2017,Population mid-year estimates for females (millions),0.0581
Kiribati,2017,Sex ratio (males per 100 females),96.5918
Kiribati,2017,Population aged 0 to 14 years old (percentage),35.146
Kiribati,2017,Population aged 60+ years old (percentage),6.1012
Kiribati,2017,Population density,140.9358
Kiribati,2017,Surface area (thousand km2),0.7263
Kiribati,2020,Population mid-year estimates (millions),0.1194
Kiribati,2020,Population mid-year estimates for males (millions),0.0587
Kiribati,2020,Population mid-year estimates for females (millions),0.0607
Kiribati,2020,Sex ratio (males per 100 females),96.7744
Kiribati,2020,Population aged 0 to 14 years old (percentage),35.9166
Kiribati,2020,Population aged 60+ years old (percentage),6.751
Kiribati,2020,Population density,147.4679
Kuwait,2005,Population mid-year estimates (millions),2.2702
Kuwait,2005,Population mid-year estimates for males (millions),1.3405
Kuwait,2005,Population mid-year estimates for females (millions),0.9297
Kuwait,2005,Sex ratio (males per 100 females),144.1804
Kuwait,2005,Population aged 0 to 14 years old (percentage),25.975
Kuwait,2005,Population aged 60+ years old (percentage),3.6141
Kuwait,2005,Population density,127.3961
Kuwait,2010,Population mid-year estimates (millions),2.9919
Kuwait,2010,Population mid-year estimates for males (millions),1.7299
Kuwait,2010,Population mid-year estimates for females (millions),1.262
Kuwait,2010,Sex ratio (males per 100 females),137.0725
Kuwait,2010,Population aged 0 to 14 years old (percentage),23.217
Kuwait,2010,Population aged 60+ years old (percentage),3.4328
Kuwait,2010,Population density,167.8947
Kuwait,2017,Population mid-year estimates (millions),4.0561
Kuwait,2017,Population mid-year estimates for males (millions),2.4287
Kuwait,2017,Population mid-year estimates for females (millions),1.6274
Kuwait,2017,Sex ratio (males per 100 females),149.2402
Kuwait,2017,Population aged 0 to 14 years old (percentage),21.4225
Kuwait,2017,Population aged 60+ years old (percentage),4.9946
Kuwait,2017,Population density,227.615
Kuwait,2017,Surface area (thousand km2),17.818
Kuwait,2020,Population mid-year estimates (millions),4.2706
Kuwait,2020,Population mid-year estimates for males (millions),2.6144
Kuwait,2020,Population mid-year estimates for females (millions),1.6561
Kuwait,2020,Sex ratio (males per 100 females),157.866
Kuwait,2020,Population aged 0 to 14 years old (percentage),21.4622
Kuwait,2020,Population aged 60+ years old (percentage),6.531
Kuwait,2020,Population density,239.6504
Kyrgyzstan,2005,Population mid-year estimates (millions),5.0753
Kyrgyzstan,2005,Population mid-year estimates for males (millions),2.5157
Kyrgyzstan,2005,Population mid-year estimates for females (millions),2.5596
Kyrgyzstan,2005,Sex ratio (males per 100 females),98.2858
Kyrgyzstan,2005,Population aged 0 to 14 years old (percentage),30.9562
Kyrgyzstan,2005,Population aged 60+ years old (percentage),7.0647
Kyrgyzstan,2005,Population density,26.4617
Kyrgyzstan,2010,Population mid-year estimates (millions),5.4223
Kyrgyzstan,2010,Population mid-year estimates for males (millions),2.6797
Kyrgyzstan,2010,Population mid-year estimates for females (millions),2.7426
Kyrgyzstan,2010,Sex ratio (males per 100 females),97.7051
Kyrgyzstan,2010,Population aged 0 to 14 years old (percentage),29.8969
Kyrgyzstan,2010,Population aged 60+ years old (percentage),6.4446
Kyrgyzstan,2010,Population density,28.2706
Kyrgyzstan,2017,Population mid-year estimates (millions),6.1897
Kyrgyzstan,2017,Population mid-year estimates for males (millions),3.0627
Kyrgyzstan,2017,Population mid-year estimates for females (millions),3.127
Kyrgyzstan,2017,Sex ratio (males per 100 females),97.9429
Kyrgyzstan,2017,Population aged 0 to 14 years old (percentage),32.1807
Kyrgyzstan,2017,Population aged 60+ years old (percentage),7.3726
Kyrgyzstan,2017,Population density,32.2718
Kyrgyzstan,2017,Surface area (thousand km2),199.949
Kyrgyzstan,2020,Population mid-year estimates (millions),6.5242
Kyrgyzstan,2020,Population mid-year estimates for males (millions),3.2273
Kyrgyzstan,2020,Population mid-year estimates for females (millions),3.2969
Kyrgyzstan,2020,Sex ratio (males per 100 females),97.8874
Kyrgyzstan,2020,Population aged 0 to 14 years old (percentage),32.6488
Kyrgyzstan,2020,Population aged 60+ years old (percentage),8.101
Kyrgyzstan,2020,Population density,34.0156
Lao People's Dem. Rep.,2005,Population mid-year estimates (millions),5.7517
Lao People's Dem. Rep.,2005,Population mid-year estimates for males (millions),2.8459
Lao People's Dem. Rep.,2005,Population mid-year estimates for females (millions),2.9057
Lao People's Dem. Rep.,2005,Sex ratio (males per 100 females),97.9421
Lao People's Dem. Rep.,2005,Population aged 0 to 14 years old (percentage),40.311
Lao People's Dem. Rep.,2005,Population aged 60+ years old (percentage),5.4608
Lao People's Dem. Rep.,2005,Population density,24.9206
Lao People's Dem. Rep.,2010,Population mid-year estimates (millions),6.2492
Lao People's Dem. Rep.,2010,Population mid-year estimates for males (millions),3.0994
Lao People's Dem. Rep.,2010,Population mid-year estimates for females (millions),3.1497
Lao People's Dem. Rep.,2010,Sex ratio (males per 100 females),98.4029
Lao People's Dem. Rep.,2010,Population aged 0 to 14 years old (percentage),36.432
Lao People's Dem. Rep.,2010,Population aged 60+ years old (percentage),5.5883
Lao People's Dem. Rep.,2010,Population density,27.0761
Lao People's Dem. Rep.,2017,Population mid-year estimates (millions),6.953
Lao People's Dem. Rep.,2017,Population mid-year estimates for males (millions),3.4915
Lao People's Dem. Rep.,2017,Population mid-year estimates for females (millions),3.4615
Lao People's Dem. Rep.,2017,Sex ratio (males per 100 females),100.8676
Lao People's Dem. Rep.,2017,Population aged 0 to 14 years old (percentage),32.8829
Lao People's Dem. Rep.,2017,Population aged 60+ years old (percentage),6.3571
Lao People's Dem. Rep.,2017,Population density,30.1258
Lao People's Dem. Rep.,2017,Surface area (thousand km2),236.8
Lao People's Dem. Rep.,2020,Population mid-year estimates (millions),7.2756
Lao People's Dem. Rep.,2020,Population mid-year estimates for males (millions),3.6518
Lao People's Dem. Rep.,2020,Population mid-year estimates for females (millions),3.6238
Lao People's Dem. Rep.,2020,Sex ratio (males per 100 females),100.7736
Lao People's Dem. Rep.,2020,Population aged 0 to 14 years old (percentage),31.9472
Lao People's Dem. Rep.,2020,Population aged 60+ years old (percentage),6.7919
Lao People's Dem. Rep.,2020,Population density,31.5232
Latvia,2005,Population mid-year estimates (millions),2.252
Latvia,2005,Population mid-year estimates for males (millions),1.0325
Latvia,2005,Population mid-year estimates for females (millions),1.2195
Latvia,2005,Sex ratio (males per 100 females),84.666
Latvia,2005,Population aged 0 to 14 years old (percentage),14.6798
Latvia,2005,Population aged 60+ years old (percentage),22.4931
Latvia,2005,Population density,36.2057
Latvia,2010,Population mid-year estimates (millions),2.1189
Latvia,2010,Population mid-year estimates for males (millions),0.9703
Latvia,2010,Population mid-year estimates for females (millions),1.1486
Latvia,2010,Sex ratio (males per 100 females),84.4744
Latvia,2010,Population aged 0 to 14 years old (percentage),14.0892
Latvia,2010,Population aged 60+ years old (percentage),23.5816
Latvia,2010,Population density,34.0653
Latvia,2017,Population mid-year estimates (millions),1.9511
Latvia,2017,Population mid-year estimates for males (millions),0.8962
Latvia,2017,Population mid-year estimates for females (millions),1.0549
Latvia,2017,Sex ratio (males per 100 females),84.9528
Latvia,2017,Population aged 0 to 14 years old (percentage),15.5763
Latvia,2017,Population aged 60+ years old (percentage),26.4714
Latvia,2017,Population density,31.3681
Latvia,2017,Surface area (thousand km2),64.573
Latvia,2020,Population mid-year estimates (millions),1.8862
Latvia,2020,Population mid-year estimates for males (millions),0.8693
Latvia,2020,Population mid-year estimates for females (millions),1.0169
Latvia,2020,Sex ratio (males per 100 females),85.4917
Latvia,2020,Population aged 0 to 14 years old (percentage),16.4321
Latvia,2020,Population aged 60+ years old (percentage),27.5758
Latvia,2020,Population density,30.3247
Lebanon,2005,Population mid-year estimates (millions),4.6988
Lebanon,2005,Population mid-year estimates for males (millions),2.3906
Lebanon,2005,Population mid-year estimates for females (millions),2.3082
Lebanon,2005,Sex ratio (males per 100 females),103.5678
Lebanon,2005,Population aged 0 to 14 years old (percentage),30.3474
Lebanon,2005,Population aged 60+ years old (percentage),8.1414
Lebanon,2005,Population density,459.3121
Lebanon,2010,Population mid-year estimates (millions),4.9531
Lebanon,2010,Population mid-year estimates for males (millions),2.5157
Lebanon,2010,Population mid-year estimates for females (millions),2.4374
Lebanon,2010,Sex ratio (males per 100 females),103.2118
Lebanon,2010,Population aged 0 to 14 years old (percentage),25.8164
Lebanon,2010,Population aged 60+ years old (percentage),9.1977
Lebanon,2010,Population density,484.1702
Lebanon,2017,Population mid-year estimates (millions),6.8194
Lebanon,2017,Population mid-year estimates for males (millions),3.4293
Lebanon,2017,Population mid-year estimates for females (millions),3.3901
Lebanon,2017,Sex ratio (males per 100 females),101.1578
Lebanon,2017,Population aged 0 to 14 years old (percentage),26.588
Lebanon,2017,Population aged 60+ years old (percentage),10.1309
Lebanon,2017,Population density,666.6054
Lebanon,2017,Surface area (thousand km2),10.452
Lebanon,2020,Population mid-year estimates (millions),6.8254
Lebanon,2020,Population mid-year estimates for males (millions),3.4357
Lebanon,2020,Population mid-year estimates for females (millions),3.3897
Lebanon,2020,Sex ratio (males per 100 females),101.3585
Lebanon,2020,Population aged 0 to 14 years old (percentage),25.0688
Lebanon,2020,Population aged 60+ years old (percentage),11.2014
Lebanon,2020,Population density,667.1989
Lesotho,2005,Population mid-year estimates (millions),1.9961
Lesotho,2005,Population mid-year estimates for males (millions),0.9642
Lesotho,2005,Population mid-year estimates for females (millions),1.0319
Lesotho,2005,Sex ratio (males per 100 females),93.4387
Lesotho,2005,Population aged 0 to 14 years old (percentage),37.1595
Lesotho,2005,Population aged 60+ years old (percentage),6.4656
Lesotho,2005,Population density,65.7482
Lesotho,2010,Population mid-year estimates (millions),1.9956
Lesotho,2010,Population mid-year estimates for males (millions),0.9699
Lesotho,2010,Population mid-year estimates for females (millions),1.0257
Lesotho,2010,Sex ratio (males per 100 females),94.5623
Lesotho,2010,Population aged 0 to 14 years old (percentage),34.8872
Lesotho,2010,Population aged 60+ years old (percentage),7.0127
Lesotho,2010,Population density,65.7306
Lesotho,2017,Population mid-year estimates (millions),2.0915
Lesotho,2017,Population mid-year estimates for males (millions),1.0302
Lesotho,2017,Population mid-year estimates for females (millions),1.0614
Lesotho,2017,Sex ratio (males per 100 females),97.0596
Lesotho,2017,Population aged 0 to 14 years old (percentage),32.9814
Lesotho,2017,Population aged 60+ years old (percentage),7.3551
Lesotho,2017,Population density,68.8911
Lesotho,2017,Surface area (thousand km2),30.355
Lesotho,2020,Population mid-year estimates (millions),2.1422
Lesotho,2020,Population mid-year estimates for males (millions),1.057
Lesotho,2020,Population mid-year estimates for females (millions),1.0853
Lesotho,2020,Sex ratio (males per 100 females),97.3876
Lesotho,2020,Population aged 0 to 14 years old (percentage),32.238
Lesotho,2020,Population aged 60+ years old (percentage),7.5241
Lesotho,2020,Population density,70.5616
Liberia,2005,Population mid-year estimates (millions),3.2181
Liberia,2005,Population mid-year estimates for males (millions),1.609
Liberia,2005,Population mid-year estimates for females (millions),1.6091
Liberia,2005,Sex ratio (males per 100 females),99.9922
Liberia,2005,Population aged 0 to 14 years old (percentage),42.867
Liberia,2005,Population aged 60+ years old (percentage),5.3009
Liberia,2005,Population density,33.4107
Liberia,2010,Population mid-year estimates (millions),3.8914
Liberia,2010,Population mid-year estimates for males (millions),1.9484
Liberia,2010,Population mid-year estimates for females (millions),1.943
Liberia,2010,Sex ratio (males per 100 females),100.2796
Liberia,2010,Population aged 0 to 14 years old (percentage),43.0343
Liberia,2010,Population aged 60+ years old (percentage),4.9806
Liberia,2010,Population density,40.4003
Liberia,2017,Population mid-year estimates (millions),4.7022
Liberia,2017,Population mid-year estimates for males (millions),2.361
Liberia,2017,Population mid-year estimates for females (millions),2.3412
Liberia,2017,Sex ratio (males per 100 females),100.8466
Liberia,2017,Population aged 0 to 14 years old (percentage),41.4787
Liberia,2017,Population aged 60+ years old (percentage),5.0845
Liberia,2017,Population density,48.8188
Liberia,2017,Surface area (thousand km2),111.369
Liberia,2020,Population mid-year estimates (millions),5.0577
Liberia,2020,Population mid-year estimates for males (millions),2.5425
Liberia,2020,Population mid-year estimates for females (millions),2.5151
Liberia,2020,Sex ratio (males per 100 females),101.0894
Liberia,2020,Population aged 0 to 14 years old (percentage),40.3722
Liberia,2020,Population aged 60+ years old (percentage),5.2425
Liberia,2020,Population density,52.5091
Libya,2005,Population mid-year estimates (millions),5.7986
Libya,2005,Population mid-year estimates for males (millions),2.9897
Libya,2005,Population mid-year estimates for females (millions),2.8089
Libya,2005,Sex ratio (males per 100 females),106.4346
Libya,2005,Population aged 0 to 14 years old (percentage),30.1659
Libya,2005,Population aged 60+ years old (percentage),5.908
Libya,2005,Population density,3.2955
Libya,2010,Population mid-year estimates (millions),6.1977
Libya,2010,Population mid-year estimates for males (millions),3.1642
Libya,2010,Population mid-year estimates for females (millions),3.0334
Libya,2010,Sex ratio (males per 100 females),104.3129
Libya,2010,Population aged 0 to 14 years old (percentage),28.753
Libya,2010,Population aged 60+ years old (percentage),5.9416
Libya,2010,Population density,3.5223
Libya,2017,Population mid-year estimates (millions),6.5807
Libya,2017,Population mid-year estimates for males (millions),3.3256
Libya,2017,Population mid-year estimates for females (millions),3.2551
Libya,2017,Sex ratio (males per 100 females),102.1651
Libya,2017,Population aged 0 to 14 years old (percentage),28.5394
Libya,2017,Population aged 60+ years old (percentage),6.5022
Libya,2017,Population density,3.74
Libya,2017,Surface area (thousand km2),1676.198
Libya,2020,Population mid-year estimates (millions),6.8713
Libya,2020,Population mid-year estimates for males (millions),3.4687
Libya,2020,Population mid-year estimates for females (millions),3.4026
Libya,2020,Sex ratio (males per 100 females),101.9452
Libya,2020,Population aged 0 to 14 years old (percentage),27.7848
Libya,2020,Population aged 60+ years old (percentage),6.9112
Libya,2020,Population density,3.9052
Liechtenstein,2005,Population mid-year estimates (millions),0.0349
Liechtenstein,2005,Sex ratio (males per 100 females),96.9718
Liechtenstein,2005,Population aged 0 to 14 years old (percentage),17.5333
Liechtenstein,2005,Population aged 60+ years old (percentage),16.8394
Liechtenstein,2005,Population density,217.825
Liechtenstein,2010,Population mid-year estimates (millions),0.036
Liechtenstein,2010,Sex ratio (males per 100 females),97.9357
Liechtenstein,2010,Population aged 0 to 14 years old (percentage),15.9755
Liechtenstein,2010,Population aged 60+ years old (percentage),20.1084
Liechtenstein,2010,Population density,225.0188
Liechtenstein,2016,Population mid-year estimates (millions),0.0377
Liechtenstein,2016,Sex ratio (males per 100 females),98.4073
Liechtenstein,2016,Population aged 0 to 14 years old (percentage),14.9115
Liechtenstein,2016,Population aged 60+ years old (percentage),22.7394
Liechtenstein,2016,Population density,235.4125
Liechtenstein,2017,Population mid-year estimates (millions),0.0379
Liechtenstein,2017,Population density,237.0125
Liechtenstein,2017,Surface area (thousand km2),0.16
Liechtenstein,2020,Population mid-year estimates (millions),0.0386
Liechtenstein,2020,Population density,241.5313
Lithuania,2005,Population mid-year estimates (millions),3.3443
Lithuania,2005,Population mid-year estimates for males (millions),1.5536
Lithuania,2005,Population mid-year estimates for females (millions),1.7907
Lithuania,2005,Sex ratio (males per 100 females),86.7585
Lithuania,2005,Population aged 0 to 14 years old (percentage),16.773
Lithuania,2005,Population aged 60+ years old (percentage),21.1448
Lithuania,2005,Population density,53.3597
Lithuania,2010,Population mid-year estimates (millions),3.1238
Lithuania,2010,Population mid-year estimates for males (millions),1.438
Lithuania,2010,Population mid-year estimates for females (millions),1.6859
Lithuania,2010,Sex ratio (males per 100 females),85.2944
Lithuania,2010,Population aged 0 to 14 years old (percentage),14.7654
Lithuania,2010,Population aged 60+ years old (percentage),22.3867
Lithuania,2010,Population density,49.8423
Lithuania,2017,Population mid-year estimates (millions),2.8454
Lithuania,2017,Population mid-year estimates for males (millions),1.3132
Lithuania,2017,Population mid-year estimates for females (millions),1.5322
Lithuania,2017,Sex ratio (males per 100 females),85.7032
Lithuania,2017,Population aged 0 to 14 years old (percentage),14.7275
Lithuania,2017,Population aged 60+ years old (percentage),25.7359
Lithuania,2017,Population density,45.4002
Lithuania,2017,Surface area (thousand km2),65.286
Lithuania,2020,Population mid-year estimates (millions),2.7223
Lithuania,2020,Population mid-year estimates for males (millions),1.26
Lithuania,2020,Population mid-year estimates for females (millions),1.4623
Lithuania,2020,Sex ratio (males per 100 females),86.1645
Lithuania,2020,Population aged 0 to 14 years old (percentage),15.4779
Lithuania,2020,Population aged 60+ years old (percentage),27.4719
Lithuania,2020,Population density,43.4357
Luxembourg,2005,Population mid-year estimates (millions),0.4578
Luxembourg,2005,Population mid-year estimates for males (millions),0.2259
Luxembourg,2005,Population mid-year estimates for females (millions),0.2319
Luxembourg,2005,Sex ratio (males per 100 females),97.4223
Luxembourg,2005,Population aged 0 to 14 years old (percentage),18.6226
Luxembourg,2005,Population aged 60+ years old (percentage),19.0046
Luxembourg,2005,Population density,176.773
Luxembourg,2010,Population mid-year estimates (millions),0.5079
Luxembourg,2010,Population mid-year estimates for males (millions),0.2523
Luxembourg,2010,Population mid-year estimates for females (millions),0.2556
Luxembourg,2010,Sex ratio (males per 100 females),98.7104
Luxembourg,2010,Population aged 0 to 14 years old (percentage),17.644
Luxembourg,2010,Population aged 60+ years old (percentage),18.9543
Luxembourg,2010,Population density,196.0961
Luxembourg,2017,Population mid-year estimates (millions),0.5919
Luxembourg,2017,Population mid-year estimates for males (millions),0.2982
Luxembourg,2017,Population mid-year estimates for females (millions),0.2937
Luxembourg,2017,Sex ratio (males per 100 females),101.5253
Luxembourg,2017,Population aged 0 to 14 years old (percentage),16.0651
Luxembourg,2017,Population aged 60+ years old (percentage),19.3638
Luxembourg,2017,Population density,228.5367
Luxembourg,2017,Surface area (thousand km2),2.586
Luxembourg,2020,Population mid-year estimates (millions),0.626
Luxembourg,2020,Population mid-year estimates for males (millions),0.3166
Luxembourg,2020,Population mid-year estimates for females (millions),0.3094
Luxembourg,2020,Sex ratio (males per 100 females),102.3265
Luxembourg,2020,Population aged 0 to 14 years old (percentage),15.5576
Luxembourg,2020,Population aged 60+ years old (percentage),19.9467
Luxembourg,2020,Population density,241.6903
Madagascar,2005,Population mid-year estimates (millions),18.3367
Madagascar,2005,Population mid-year estimates for males (millions),9.1305
Madagascar,2005,Population mid-year estimates for females (millions),9.2062
Madagascar,2005,Sex ratio (males per 100 females),99.1773
Madagascar,2005,Population aged 0 to 14 years old (percentage),44.7119
Madagascar,2005,Population aged 60+ years old (percentage),4.3946
Madagascar,2005,Population density,31.5175
Madagascar,2010,Population mid-year estimates (millions),21.1516
Madagascar,2010,Population mid-year estimates for males (millions),10.5363
Madagascar,2010,Population mid-year estimates for females (millions),10.6153
Madagascar,2010,Sex ratio (males per 100 females),99.2553
Madagascar,2010,Population aged 0 to 14 years old (percentage),43.5222
Madagascar,2010,Population aged 60+ years old (percentage),4.341
Madagascar,2010,Population density,36.3558
Madagascar,2017,Population mid-year estimates (millions),25.5705
Madagascar,2017,Population mid-year estimates for males (millions),12.7519
Madagascar,2017,Population mid-year estimates for females (millions),12.8187
Madagascar,2017,Sex ratio (males per 100 females),99.4788
Madagascar,2017,Population aged 0 to 14 years old (percentage),40.9723
Madagascar,2017,Population aged 60+ years old (percentage),4.7921
Madagascar,2017,Population density,43.9511
Madagascar,2017,Surface area (thousand km2),587.295
Madagascar,2020,Population mid-year estimates (millions),27.691
Madagascar,2020,Population mid-year estimates for males (millions),13.8146
Madagascar,2020,Population mid-year estimates for females (millions),13.8764
Madagascar,2020,Sex ratio (males per 100 females),99.5548
Madagascar,2020,Population aged 0 to 14 years old (percentage),40.0625
Madagascar,2020,Population aged 60+ years old (percentage),5.0121
Madagascar,2020,Population density,47.5958
Malawi,2005,Population mid-year estimates (millions),12.626
Malawi,2005,Population mid-year estimates for males (millions),6.2146
Malawi,2005,Population mid-year estimates for females (millions),6.4114
Malawi,2005,Sex ratio (males per 100 females),96.9309
Malawi,2005,Population aged 0 to 14 years old (percentage),46.3809
Malawi,2005,Population aged 60+ years old (percentage),4.4883
Malawi,2005,Population density,133.9197
Malawi,2010,Population mid-year estimates (millions),14.5396
Malawi,2010,Population mid-year estimates for males (millions),7.1542
Malawi,2010,Population mid-year estimates for females (millions),7.3854
Malawi,2010,Sex ratio (males per 100 females),96.8691
Malawi,2010,Population aged 0 to 14 years old (percentage),46.3514
Malawi,2010,Population aged 60+ years old (percentage),4.1983
Malawi,2010,Population density,154.2174
Malawi,2017,Population mid-year estimates (millions),17.6702
Malawi,2017,Population mid-year estimates for males (millions),8.7096
Malawi,2017,Population mid-year estimates for females (millions),8.9606
Malawi,2017,Sex ratio (males per 100 females),97.198
Malawi,2017,Population aged 0 to 14 years old (percentage),44.2969
Malawi,2017,Population aged 60+ years old (percentage),4.0517
Malawi,2017,Population density,187.4225
Malawi,2017,Surface area (thousand km2),118.484
Malawi,2020,Population mid-year estimates (millions),19.13
Malawi,2020,Population mid-year estimates for males (millions),9.434
Malawi,2020,Population mid-year estimates for females (millions),9.6959
Malawi,2020,Sex ratio (males per 100 females),97.2991
Malawi,2020,Population aged 0 to 14 years old (percentage),42.9921
Malawi,2020,Population aged 60+ years old (percentage),4.0928
Malawi,2020,Population density,202.9057
Malaysia,2005,Population mid-year estimates (millions),25.6906
Malaysia,2005,Population mid-year estimates for males (millions),13.1681
Malaysia,2005,Population mid-year estimates for females (millions),12.5226
Malaysia,2005,Sex ratio (males per 100 females),105.1546
Malaysia,2005,Population aged 0 to 14 years old (percentage),30.4526
Malaysia,2005,Population aged 60+ years old (percentage),7.1
Malaysia,2005,Population density,78.1939
Malaysia,2010,Population mid-year estimates (millions),28.208
Malaysia,2010,Population mid-year estimates for males (millions),14.5501
Malaysia,2010,Population mid-year estimates for females (millions),13.6579
Malaysia,2010,Sex ratio (males per 100 females),106.5327
Malaysia,2010,Population aged 0 to 14 years old (percentage),27.9611
Malaysia,2010,Population aged 60+ years old (percentage),7.8732
Malaysia,2010,Population density,85.8561
Malaysia,2017,Population mid-year estimates (millions),31.1046
Malaysia,2017,Population mid-year estimates for males (millions),16.0003
Malaysia,2017,Population mid-year estimates for females (millions),15.1043
Malaysia,2017,Sex ratio (males per 100 females),105.9319
Malaysia,2017,Population aged 0 to 14 years old (percentage),24.3438
Malaysia,2017,Population aged 60+ years old (percentage),9.9357
Malaysia,2017,Population density,94.6725
Malaysia,2017,Surface area (thousand km2),330.323
Malaysia,2020,Population mid-year estimates (millions),32.366
Malaysia,2020,Population mid-year estimates for males (millions),16.6308
Malaysia,2020,Population mid-year estimates for females (millions),15.7352
Malaysia,2020,Sex ratio (males per 100 females),105.6919
Malaysia,2020,Population aged 0 to 14 years old (percentage),23.4481
Malaysia,2020,Population aged 60+ years old (percentage),10.9649
Malaysia,2020,Population density,98.5116
Maldives,2005,Population mid-year estimates (millions),0.3196
Maldives,2005,Population mid-year estimates for males (millions),0.1669
Maldives,2005,Population mid-year estimates for females (millions),0.1527
Maldives,2005,Sex ratio (males per 100 females),109.3622
Maldives,2005,Population aged 0 to 14 years old (percentage),31.4682
Maldives,2005,Population aged 60+ years old (percentage),6.513
Maldives,2005,Population density,1065.36
Maldives,2010,Population mid-year estimates (millions),0.3657
Maldives,2010,Population mid-year estimates for males (millions),0.1987
Maldives,2010,Population mid-year estimates for females (millions),0.167
Maldives,2010,Sex ratio (males per 100 females),118.962
Maldives,2010,Population aged 0 to 14 years old (percentage),25.2916
Maldives,2010,Population aged 60+ years old (percentage),6.1501
Maldives,2010,Population density,1219.1133
Maldives,2017,Population mid-year estimates (millions),0.4964
Maldives,2017,Population mid-year estimates for males (millions),0.307
Maldives,2017,Population mid-year estimates for females (millions),0.1894
Maldives,2017,Sex ratio (males per 100 females),162.0552
Maldives,2017,Population aged 0 to 14 years old (percentage),20.395
Maldives,2017,Population aged 60+ years old (percentage),5.814
Maldives,2017,Population density,1654.6733
Maldives,2017,Surface area (thousand km2),0.3
Maldives,2020,Population mid-year estimates (millions),0.5405
Maldives,2020,Population mid-year estimates for males (millions),0.3429
Maldives,2020,Population mid-year estimates for females (millions),0.1976
Maldives,2020,Sex ratio (males per 100 females),173.5343
Maldives,2020,Population aged 0 to 14 years old (percentage),19.5997
Maldives,2020,Population aged 60+ years old (percentage),5.7407
Maldives,2020,Population density,1801.8133
Mali,2005,Population mid-year estimates (millions),12.7755
Mali,2005,Population mid-year estimates for males (millions),6.3581
Mali,2005,Population mid-year estimates for females (millions),6.4174
Mali,2005,Sex ratio (males per 100 females),99.0763
Mali,2005,Population aged 0 to 14 years old (percentage),46.8694
Mali,2005,Population aged 60+ years old (percentage),4.5972
Mali,2005,Population density,10.4701
Mali,2010,Population mid-year estimates (millions),15.0494
Mali,2010,Population mid-year estimates for males (millions),7.517
Mali,2010,Population mid-year estimates for females (millions),7.5323
Mali,2010,Sex ratio (males per 100 females),99.7968
Mali,2010,Population aged 0 to 14 years old (percentage),47.4888
Mali,2010,Population aged 60+ years old (percentage),4.1833
Mali,2010,Population density,12.3336
Mali,2017,Population mid-year estimates (millions),18.5124
Mali,2017,Population mid-year estimates for males (millions),9.2634
Mali,2017,Population mid-year estimates for females (millions),9.249
Mali,2017,Sex ratio (males per 100 females),100.1554
Mali,2017,Population aged 0 to 14 years old (percentage),47.7228
Mali,2017,Population aged 60+ years old (percentage),3.9569
Mali,2017,Population density,15.1718
Mali,2017,Surface area (thousand km2),1240.192
Mali,2020,Population mid-year estimates (millions),20.2508
Mali,2020,Population mid-year estimates for males (millions),10.1452
Mali,2020,Population mid-year estimates for females (millions),10.1057
Mali,2020,Sex ratio (males per 100 females),100.391
Mali,2020,Population aged 0 to 14 years old (percentage),47.0073
Mali,2020,Population aged 60+ years old (percentage),3.8601
Mali,2020,Population density,16.5965
Malta,2005,Population mid-year estimates (millions),0.4047
Malta,2005,Population mid-year estimates for males (millions),0.2007
Malta,2005,Population mid-year estimates for females (millions),0.204
Malta,2005,Sex ratio (males per 100 females),98.3924
Malta,2005,Population aged 0 to 14 years old (percentage),17.4335
Malta,2005,Population aged 60+ years old (percentage),18.8846
Malta,2005,Population density,1264.5406
Malta,2010,Population mid-year estimates (millions),0.4143
Malta,2010,Population mid-year estimates for males (millions),0.2056
Malta,2010,Population mid-year estimates for females (millions),0.2086
Malta,2010,Sex ratio (males per 100 females),98.5425
Malta,2010,Population aged 0 to 14 years old (percentage),14.9913
Malta,2010,Population aged 60+ years old (percentage),23.0014
